[2017-07-16 01:30:28] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-16 01:30:31] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/index/key/ac541b8f21aa2c381ca57671a1401928a1ba492fa1ed5b080e774208b95373ba/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-16 01:37:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-16 01:37:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-16 01:37:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"},"is_exception":false} []
[2017-07-16 01:37:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"},"is_exception":false} []
[2017-07-16 01:37:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_3"},"is_exception":false} []
[2017-07-16 01:37:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"},"is_exception":false} []
[2017-07-16 01:37:12] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"},"is_exception":false} []
[2017-07-16 01:37:12] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"},"is_exception":false} []
[2017-07-16 01:37:12] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_3"},"is_exception":false} []
[2017-07-16 01:37:12] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"},"is_exception":false} []
[2017-07-16 01:37:51] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-07-16 01:37:51] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-07-16 01:37:51] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-16 01:37:54] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/index/key/ac541b8f21aa2c381ca57671a1401928a1ba492fa1ed5b080e774208b95373ba/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-16 01:54:31] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-07-16 01:54:31] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-07-16 01:54:31] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-16 01:54:34] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/index/key/ac541b8f21aa2c381ca57671a1401928a1ba492fa1ed5b080e774208b95373ba/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
